7.5013 	WARNING 	Monitor specification not found. Creating a temporary one...
14.7804 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
15.8979 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000286698A42B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000286698A4250>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000286698A4040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000028677E0F9D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.8980 	EXP 	window1: mouseVisible = True
15.8980 	EXP 	window1: backgroundImage = ''
15.8981 	EXP 	window1: backgroundFit = 'none'
15.9007 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.9008 	EXP 	window1: recordFrameIntervals = False
16.0641 	EXP 	window1: recordFrameIntervals = True
16.2481 	EXP 	Screen (0) actual frame rate measured at 59.78Hz
16.2481 	EXP 	window1: recordFrameIntervals = False
16.2483 	EXP 	window1: mouseVisible = False
18.8746 	EXP 	bci_racingteam: status = STARTED
18.8757 	EXP 	window1: mouseVisible = True
19.0706 	EXP 	Created text_pre_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pre_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Start\n', units='height', win=Window(...), wrapWidth=1)
19.0708 	EXP 	window1: mouseVisible = True
19.0738 	EXP 	Created hor_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='hor_line_precue', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
19.0740 	EXP 	window1: mouseVisible = True
